Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.2,14.3,2.68412,Denial of Service,System,03:35:09.719
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.2,16.7,2.63045,Denial of Service,System,03:35:10.937
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,42.9,2.68197,Denial of Service,System,03:35:12.158
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,44.8,33.3,2.66301,Denial of Service,System,03:35:13.377
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,44.8,37.5,2.67422,Denial of Service,System,03:35:14.600
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,44.8,33.4,2.67492,Denial of Service,System,03:35:15.824
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,44.4,2.69057,Denial of Service,System,03:35:17.053
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,37.5,2.65081,Denial of Service,System,03:35:18.271
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,33.3,2.65996,Denial of Service,System,03:35:19.463
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,33.3,2.66921,Denial of Service,System,03:35:20.652
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,25.0,2.67201,Denial of Service,System,03:35:21.842
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,20.0,2.67977,Denial of Service,System,03:35:23.033
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,42.9,2.69322,Denial of Service,System,03:35:24.252
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,28.6,2.66151,Denial of Service,System,03:35:25.484
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,37.5,2.68692,Denial of Service,System,03:35:26.708
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,37.5,2.66056,Denial of Service,System,03:35:27.937
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,16.7,2.6176,Denial of Service,System,03:35:29.164
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,37.5,2.66461,Denial of Service,System,03:35:30.391
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,42.9,2.69222,Denial of Service,System,03:35:31.610
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,33.3,2.64446,Denial of Service,System,03:35:32.828
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,42.9,2.68057,Denial of Service,System,03:35:34.049
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,42.9,2.67597,Denial of Service,System,03:35:35.270
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,42.9,2.69507,Denial of Service,System,03:35:36.490
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,37.5,2.66926,Denial of Service,System,03:35:37.717
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,37.5,2.69607,Denial of Service,System,03:35:38.946
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,28.6,2.68657,Denial of Service,System,03:35:40.173
