Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.24,Denial of Service,ACS712,0.448,448
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.54,Denial of Service,ACS712,0.508,508
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.275,Denial of Service,ACS712,0.455,455
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,1.945,Denial of Service,ACS712,0.389,389
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,3.2,Denial of Service,ACS712,0.64,640
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,1.515,Denial of Service,ACS712,0.303,303
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.11,Denial of Service,ACS712,0.422,422
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.54,Denial of Service,ACS712,0.508,508
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.375,Denial of Service,ACS712,0.475,475
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.375,Denial of Service,ACS712,0.475,475
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.11,Denial of Service,ACS712,0.422,422
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.375,Denial of Service,ACS712,0.475,475
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,1.715,Denial of Service,ACS712,0.343,343
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.24,Denial of Service,ACS712,0.448,448
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.11,Denial of Service,ACS712,0.422,422
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,1.32,Denial of Service,ACS712,0.264,264
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.0749999999999997,Denial of Service,ACS712,0.415,415
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.64,Denial of Service,ACS712,0.528,528
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.67,Denial of Service,ACS712,0.534,534
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.505,Denial of Service,ACS712,0.501,501
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.11,Denial of Service,ACS712,0.422,422
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,3.135,Denial of Service,ACS712,0.627,627
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.405,Denial of Service,ACS712,0.481,481
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.0749999999999997,Denial of Service,ACS712,0.415,415
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,3.3950000000000005,Denial of Service,ACS712,0.679,679
