Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.9,60.0,5.9,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:04.000,0.1,48.0,51.0,50.0,48.0,11.9
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.2,56.0,5.8,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:06.000,0.0,55.0,57.0,49.0,50.0,11.2
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.2,61.0,5.7,2.4,0.0,0.0,56.1,Cryptojacking,Open Hardware Monitor,08:03:08.000,0.0,49.0,49.0,50.0,49.0,11.3
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.7,55.0,5.6,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:10.000,0.0,48.0,49.0,49.0,49.0,10.8
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.9,60.0,5.7,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:12.000,0.0,51.0,63.0,50.0,60.0,11.1
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.6,54.0,6.0,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:14.000,0.1,49.0,50.0,50.0,49.0,10.7
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.6,63.0,6.0,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:16.000,0.0,47.0,51.0,48.0,63.0,10.6
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.9,55.0,5.2,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:18.000,0.0,48.0,49.0,49.0,49.0,12.1
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.9,55.0,4.5,2.4,0.0,0.0,56.1,Cryptojacking,Open Hardware Monitor,08:03:20.000,0.0,47.0,50.0,49.0,49.0,11.9
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.1,55.0,5.1,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:22.000,0.0,48.0,50.0,50.0,49.0,12.2
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.6,55.0,6.1,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:24.000,0.0,48.0,49.0,49.0,48.0,11.6
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.8,55.0,5.6,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:26.000,0.0,48.0,49.0,49.0,48.0,11.8
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.2,54.0,5.7,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:28.000,0.0,49.0,50.0,49.0,49.0,11.4
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.5,55.0,7.0,2.4,0.0,0.0,56.1,Cryptojacking,Open Hardware Monitor,08:03:30.000,0.0,49.0,50.0,49.0,49.0,10.6
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.8,54.0,7.5,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:32.000,0.0,49.0,49.0,48.0,48.0,10.8
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.5,55.0,5.9,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:34.000,0.0,50.0,51.0,49.0,49.0,10.8
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.1,54.0,5.9,2.4,54.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:36.000,0.0,49.0,49.0,49.0,49.0,11.2
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,9.4,54.0,1.4,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:38.000,0.1,49.0,53.0,50.0,50.0,5.4
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.0,56.0,5.7,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:40.000,0.0,47.0,49.0,50.0,49.0,12.2
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.9,55.0,5.1,2.4,0.0,0.0,56.1,Cryptojacking,Open Hardware Monitor,08:03:42.000,0.0,48.0,50.0,48.0,49.0,12.0
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.9,54.0,6.6,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:44.000,0.0,49.0,49.0,48.0,49.0,11.1
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.3,61.0,5.4,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:46.000,0.0,49.0,49.0,48.0,62.0,10.5
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.0,54.0,5.2,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:48.000,0.0,48.0,49.0,48.0,49.0,11.1
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.8,55.0,5.7,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:50.000,0.0,49.0,49.0,48.0,48.0,10.9
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.8,55.0,5.8,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:52.000,0.0,49.0,50.0,48.0,49.0,12.0
